et_date,run_utc,run_et,minutes_since_close,flow_status,regime,regime_label,short_real_rate,long_real_yield,long_real_mom_3m,spread_2s10s,hy_oas,hy_oas_mom_2w,breakeven_10y,cpi_yoy,stock_bond_corr_60d,repression_score,repression_band,top_weight,hollow,kmlm_stance,missing,drivers,vix,gold_gate,spy_1d,spy_1w,qqq_1d,qqq_1w,sector_dispersion_1w,breadth_divergence_1w,alerts_fired,alert_max_level,alert_rules,errors,error_count,flow_detail,cpi_3m_saar,cpi_mom_sa
2026-08-12,2026-08-13T00:55:45+00:00,"Aug 12, 2026 08:55 PM EDT",295.75508556666665,,neutral,Neutral / Transition,,,,,,,,,0.38,2,Tightening cycle,0/4,True,HOLD KMLM,short real rate;DFII10 level;2s10s / momentum;HY OAS;10y breakeven;CPI YoY,⚠ DFII10 momentum unavailable — classification degraded | Signals mixed / transitioning,14.55,FAIL,0.25,0.35,0.73,0.89,8.07,-0.26,1,INFO,sector_dispersion,,0,flow_integrity not applicable in this repo (ETF flow data lives in Money_Flow only).,,
2026-08-13,2026-08-13T16:35:00+00:00,"Aug 13, 2026 12:35 PM EDT",-204.98538236666667,,transition_ambiguous,Transition — Ambiguous (short real rate at zero),0.27,2.43,0.4800000000000002,0.4800000000000004,2.71,-0.1600000000000001,2.26,3.364825041479902,0.38,5,Moderate repression,0/4,True,INCREASE KMLM,,Short real rate +0.27% (positive) | HY OAS 2.71% (tight credit) | Valuation guard BLOCKS a growth-additive regime: Shiller CAPE 42.0 ≥ 40 — dot-com-peak territory. Top-20 concentration 50.8% ≥ 45% — index-level single-theme risk. Adding to growth at a historic valuation extreme is not what a confirmed benign regime should instruct. Routing to the transition overlay instead.,14.71,FAIL,0.53,1.05,1.14,2.42,5.11,-0.39,3,INFO,short_real_band;cpi_saar_divergence;sector_dispersion,,0,flow_integrity not applicable in this repo (ETF flow data lives in Money_Flow only).,0.4894535132635047,0.0736691443554482
2026-08-14,2026-08-14T22:52:50+00:00,"Aug 14, 2026 06:52 PM EDT",172.84606171666667,,transition_ambiguous,Transition — Valuation Guard Active,0.27,2.39,0.4000000000000001,0.4799999999999995,2.71,-0.1299999999999999,2.27,3.364825041479902,0.37,4,Tightening cycle,0/4,True,INCREASE KMLM,,Short real rate +0.27% (positive) | HY OAS 2.71% (tight credit) | Valuation guard BLOCKS a growth-additive regime: Shiller CAPE 42.0 ≥ 40 — dot-com-peak territory. Top-20 concentration 50.8% ≥ 45% — index-level single-theme risk. Adding to growth at a historic valuation extreme is not what a confirmed benign regime should instruct. Routing to the transition overlay instead.,14.25,FAIL,-0.2,0.4,-0.14,1.11,9.05,-0.82,3,INFO,short_real_band;cpi_saar_divergence;sector_dispersion,,0,flow_integrity not applicable in this repo (ETF flow data lives in Money_Flow only).,0.4894535132635047,0.0736691443554482
2026-08-16,2026-08-16T10:24:03+00:00,"Aug 16, 2026 06:24 AM EDT",,,transition_ambiguous,Transition — Valuation Guard Active,0.27,2.39,0.4000000000000001,0.4799999999999995,2.71,-0.1299999999999999,2.27,3.364825041479902,0.37,4,Tightening cycle,0/4,True,INCREASE KMLM,,Short real rate +0.27% (positive) | HY OAS 2.71% (tight credit) | Valuation guard BLOCKS a growth-additive regime: Shiller CAPE 42.0 ≥ 40 — dot-com-peak territory. Top-20 concentration 50.8% ≥ 45% — index-level single-theme risk. Adding to growth at a historic valuation extreme is not what a confirmed benign regime should instruct. Routing to the transition overlay instead.,14.25,FAIL,-0.2,0.4,-0.14,1.11,9.05,-0.82,3,INFO,short_real_band;cpi_saar_divergence;sector_dispersion,,0,flow_integrity not applicable in this repo (ETF flow data lives in Money_Flow only).,0.4894535132635047,0.0736691443554482
2026-08-17,2026-08-17T22:52:28+00:00,"Aug 17, 2026 06:52 PM EDT",172.47640471666668,,transition_ambiguous,Transition — Valuation Guard Active,0.27,2.41,0.4100000000000001,0.5099999999999998,2.67,-0.1800000000000001,2.28,3.364825041479902,0.36,5,Moderate repression,0/4,True,INCREASE KMLM,,Short real rate +0.27% (positive) | HY OAS 2.67% (tight credit) | Valuation guard BLOCKS a growth-additive regime: Shiller CAPE 42.0 ≥ 40 — dot-com-peak territory. Top-20 concentration 50.8% ≥ 45% — index-level single-theme risk. Adding to growth at a historic valuation extreme is not what a confirmed benign regime should instruct. Routing to the transition overlay instead.,15.19,FAIL,-0.47,-0.05,-0.16,1.25,6.43,-0.31,3,INFO,short_real_band;cpi_saar_divergence;sector_dispersion,,0,flow_integrity not applicable in this repo (ETF flow data lives in Money_Flow only).,0.4894535132635047,0.0736691443554482
2026-08-18,2026-08-18T22:53:33+00:00,"Aug 18, 2026 06:53 PM EDT",173.55537558333333,,transition_ambiguous,Transition — Valuation Guard Active,0.27,2.44,0.3399999999999998,0.5299999999999994,2.7,-0.0799999999999996,2.3,3.364825041479902,0.35,5,Moderate repression,0/4,True,INCREASE KMLM,,Short real rate +0.27% (positive) | HY OAS 2.70% (tight credit) | Valuation guard BLOCKS a growth-additive regime: Shiller CAPE 42.0 ≥ 40 — dot-com-peak territory. Top-20 concentration 50.8% ≥ 45% — index-level single-theme risk. Adding to growth at a historic valuation extreme is not what a confirmed benign regime should instruct. Routing to the transition overlay instead.,15.84,FAIL,-0.68,-0.4,-1.69,-0.13,7.25,0.01,3,INFO,short_real_band;cpi_saar_divergence;sector_dispersion,,0,flow_integrity not applicable in this repo (ETF flow data lives in Money_Flow only).,0.4894535132635047,0.0736691443554482
2026-08-19,2026-08-19T22:53:20+00:00,"Aug 19, 2026 06:53 PM EDT",173.34868353333334,,transition_ambiguous,Transition — Valuation Guard Active,0.27,2.41,0.2800000000000002,0.5199999999999996,2.75,0.02,2.3,3.364825041479902,0.33,4,Tightening cycle,0/4,True,INCREASE KMLM,,Short real rate +0.27% (positive) | HY OAS 2.75% (tight credit) | Valuation guard BLOCKS a growth-additive regime: Shiller CAPE 42.0 ≥ 40 — dot-com-peak territory. Top-20 concentration 50.8% ≥ 45% — index-level single-theme risk. Adding to growth at a historic valuation extreme is not what a confirmed benign regime should instruct. Routing to the transition overlay instead.,14.89,PASS,0.21,-0.44,-0.2,-1.05,7.06,-0.89,3,INFO,short_real_band;cpi_saar_divergence;sector_dispersion,,0,flow_integrity not applicable in this repo (ETF flow data lives in Money_Flow only).,0.4894535132635047,0.0736691443554482
2026-08-20,2026-08-20T22:57:18+00:00,"Aug 20, 2026 06:57 PM EDT",177.3108724,N/A,transition_ambiguous,Transition — Valuation Guard Active,0.27,2.35,0.16999999999999993,0.45999999999999996,2.73,-0.020000000000000018,2.34,3.364825041479902,0.34,4,Tightening cycle,0/4,True,INCREASE KMLM,,Short real rate +0.27% (positive) | HY OAS 2.73% (tight credit) | Valuation guard BLOCKS a growth-additive regime: Shiller CAPE 42.0 ≥ 40 — dot-com-peak territory. Top-20 concentration 50.8% ≥ 45% — index-level single-theme risk. Adding to growth at a historic valuation extreme is not what a confirmed benign regime should instruct. Routing to the transition overlay instead.,16.01,PASS,-0.84,-1.96,-0.72,-2.89,8.43,-0.86,3,INFO,short_real_band;cpi_saar_divergence;sector_dispersion,,0,flow_integrity not applicable in this repo (ETF flow data lives in Money_Flow only).,0.4894535132635047,0.07366914435544825
